conductor_size,3/8,1/2,3/4,1,1 1/4,1 1/2,2,2 1/2,3,3 1/2,4,5,6
14,—,12,22,35,61,84,138,241,364,476,608,—,—
12,—,9,16,26,45,61,101,176,266,347,443,—,—
10,—,5,10,16,28,38,63,111,167,219,279,—,—
8,—,3,6,9,16,22,36,64,96,126,161,—,—
6,—,2,4,7,12,16,26,46,69,91,116,—,—
4,—,1,2,4,7,10,16,28,43,56,71,—,—
3,—,1,1,3,6,8,13,24,36,47,60,—,—
2,—,1,1,3,5,7,11,20,30,40,51,—,—
1,—,1,1,1,4,5,8,15,22,29,37,—,—
1/0,—,1,1,1,3,4,7,12,19,25,32,—,—
2/0,—,0,1,1,2,3,6,10,16,20,26,—,—
3/0,—,0,1,1,1,3,5,8,13,17,22,—,—
4/0,—,0,1,1,1,2,4,7,11,14,18,—,—
250,—,0,0,1,1,1,3,6,9,11,15,—,—
300,—,0,0,1,1,1,3,5,7,10,13,—,—
350,—,0,0,1,1,1,2,4,6,9,11,—,—
400,—,0,0,0,1,1,1,4,6,8,10,—,—
500,—,0,0,0,1,1,1,3,5,6,8,—,—
600,—,0,0,0,1,1,1,2,4,5,7,—,—
700,—,0,0,0,1,1,1,2,3,4,6,—,—
750,—,0,0,0,0,1,1,1,3,4,5,—,—
800,—,0,0,0,0,1,1,1,3,4,5,—,—
900,—,0,0,0,0,1,1,1,3,3,4,—,—
1000,—,0,0,0,0,1,1,1,2,3,4,—,—
